char_id,name,jp_name,main_color,side_color,type1,type2,voice_trans,updated_at,link_name
1137,Coron,コロン,Red,,Balance,Single,,1711162155938,Coron
1149,Carol,キャロ,Red,,Attack,Single,,1692052326660,Carol
5335,Christmash Salome,クリスマしゅサロメ,Purple,Red,Recover,Single,V5058,1708830071241,Christmash Salome
1075,Arsil,アーシル,Red,,Balance,Single,,1709510071895,Arsil
1332,Angelic Healer Floré,癒しの天使フローレ,Red,,Recover,Single,V1026,1701352769194,Angelic Healer Floré
1068,Ahmar,アフマル,Red,,Recover,Single,,1710445677266,Ahmar
1207,Attack Pusler,こうげきプースラ,Red,,Attack,Single,,1702029666518,Pusler/Red
1126,Dongdae,ドンデ,Red,,Balance,Single,V1126,1706833741911,Dongdae
1010,Amitie,アミティ,Red,,Attack,Single,V1010,1710180372570,Amitie
1150,Annie ver. Holy Night,アニー ver.聖夜,Red,,Recover,Single,,1703229916303,Annie ver. Holy Night
1296,Chuukichi Paprisu,中吉パプリス,Red,,Balance,Single,,1703969251120,Chuukichi Paprisu
1060,Amba,アンバ,Red,,HP,Single,,1710440875063,Amba
1069,Clioné,クリオネェ,Red,,Balance,Single,,1710445677621,Clioné
4253,Hachune Miku,はちゅねミク,Yellow,,Recover,Single,,1641256406400,Hachune Miku
4302,Inspector Zenigata,銭形警部,Yellow,,HP,Single,,1641256407341,Inspector Zenigata
4424,Kamen Rider Valkyrie,仮面ライダーバルキリー,Yellow,,Balance,Single,,1641256408225,Kamen Rider Valkyrie
4278,Kanji Tatsumi,巽完二,Yellow,,Attack,Single,V4278,1641256408581,Kanji Tatsumi
4267,Kaworu,カヲル,Yellow,,Balance,Single,,1641256408787,Kaworu
4294,Luna & Artemis,ルナ＆アルテミス,Yellow,,Balance,Single,,1641256410624,Luna & Artemis
4318,Makoto Nijitani,虹谷誠,Yellow,,HP,Single,,1641256411470,Makoto Nijitani
184453L,Mecha Odorigame-Yellow,メカおどりガメ・イエロー,Yellow,,NPC,--,,1641256411968,Mecha Odorigame-Yellow
184458L,Mecha Yellow Umiushi,メカイエローうみうし,Yellow,,NPC,--,,1641256412101,Mecha Yellow Umiushi
4072,Miriam,ミリアム,Yellow,,Attack,Single,V4072,1641256413456,Miriam
5294,Luna & Artemis,ルナ＆アルテミス,Purple,,Balance,Single,,1641256414167,Luna & Artemis
5082,Orvo,オルヴォ,Purple,,HP,Single,,1641256416559,Orvo
5386,Osamu Miya,宮治,Purple,,Attack,Single,V5386,1641256416759,Osamu Miya
5157,Rappin,ラッピン,Purple,,HP,Single,,1641256418582,Rappin
5132,Rothion,ロティオン,Purple,,Attack,Single,V5132,1641256419177,Rothion
1314,Dragondance Fangzhang,龍人の演舞ホウジョウ,Red,,Attack,Single,V1077,1641256420680,Dragondance Fangzhang
5525,,,,,,,,1653396921587,
4130,Lorin,ローリン,Yellow,,Attack,Single,,1655946821376,Lorin
1361,Gold Chamali,ゴールドカマリ,Red,Yellow,Attack,Single,V1112,1658872046971,Gold Chamali
4515,,,,,,,,1656027224893,
4527,,,,,,,,1656471832204,
4348,Hed ver. Fukurodani Academy High,ヘド ver.梟谷学園高校,Yellow,,Attack,Single,V1031,1659476857786,Hed ver. Fukurodani Academy High
5098,Misa,ミサ,Purple,,Recover,Single,,1665891251756,Misa
1136,Dugtt,ダット,Red,Purple,HP,Single,V1136,1673650647657,Dugtt
4309,King Nikochan & Servant,ニコチャン大王＆家来,Yellow,,HP,Single,,1673648847456,King Nikochan & Servant/Yellow
4342,Majo Rika,マジョリカ,Yellow,,Attack,Single,,1673648848174,Majo Rika/Yellow
4367,Medama Oyaji,目玉おやじ,Yellow,,Balance,Single,V4367,1673649448220,Medama Oyaji
1383,Even Stranger Klug,もっとあやしいクルーク,Red,Purple,HP,Single,V1383,1641256421370,Even Stranger Klug
3273,Exspatulary Empusa,コテコテのエムプーサ,Green,Red,Attack,Single,V3019,1641256422095,Exspatulary Empusa
2278,Teddie,クマ,Blue,,HP,Single,V2278,1652474106346,Teddie
1089,Mars,マルス,Red,Yellow,Balance,Single,V1089,1689943017743,Mars
4024,Minotauros,ミノタウロス,Yellow,,HP,Single,V4024,1704283738306,Minotauros
5014,Purple Kobbit,むらさきコビット,Purple,,Recover,Single,,1686576075694,Kobbit/Purple
5341,Onpurisu,おんぷリス,Purple,,Balance,Single,,1686270625642,Onpurisu
4133,Lunaful,ルナフル,Yellow,,Recover,Single,,1686743493805,Lunaful
4346,Kei Tsukishima,月島蛍,Yellow,,HP,Single,V4346,1692504164437,Kei Tsukishima
5043,Reindeer Schezo,トナカイシェゾ,Purple,,Balance,Single,V5012,1703624789432,Reindeer Schezo
5308,Paprisu Sarada,皿田パプリス,Purple,,Balance,Single,,1686270625776,Paprisu Sarada/Purple
5304,Lupinrisu,ルパンリス,Purple,,Balance,Single,,1686270625803,Lupinrisu/Purple
5295,Lunarisu,ルナリス,Purple,,Balance,Single,,1686270625838,Lunarisu
4341,Hazukirisu,はづきリス,Yellow,,Balance,Single,,1686271226516,Hazukirisu
4323,Makyuurisu,魔球リス,Yellow,,Balance,Single,,1686271226637,Makyuurisu/Yellow
4271,Kaworurisu,カヲルリス,Yellow,,Balance,Single,,1686271226813,Kaworurisu
4254,Mikurisu,ミクリス,Yellow,,Balance,Single,,1686271226815,Mikurisu/Yellow
1341,Doremirisu,どれみリス,Red,,Balance,Single,,1686271828676,Doremirisu
1395,Elizarisu,エリザリス,Red,,Balance,Single,,1686271828801,Elizarisu/Red
4393,Ragnus ver. Shinsengumi,ラグナス ver.真選組,Yellow,,Attack,Single,V5024,1689175512598,Ragnus ver. Shinsengumi
5065,Pon'tusu,ポントゥス,Purple,,HP,Single,,1710445077039,Pon'tusu
4013,Gnome,ノーム,Yellow,,Balance,Single,V4013,1689468343179,Gnome
4120,Halme,ハルム,Yellow,,Balance,Single,,1686574873842,Halme
1027,Edgar,エドガー,Red,Green,Recover,Single,V1027,1710186375240,Edgar
5015,Purple Umiushi,パープルうみうし,Purple,,Balance,Single,,1687271538635,Umiushi/Purple
4129,Komaleo,コマレオ,Yellow,,Balance,Single,V4129,1705773383445,Komaleo
5103,Miras,ミラス,Purple,,HP,Single,,1700787520711,Miras
4085,Jean,ジャン,Yellow,,HP,Single,,1706239051749,Jean
5138,Noelia,ノエリア,Purple,,Attack,Single,,1697923935664,Noelia
4370,Meiling Li,李苺鈴,Yellow,,HP,Single,V4370,1705844790931,Meiling Li
5002,Onyx Hotaru Ika,オニキスほたるいか,Purple,,Recover,Single,,1706126242190,Hotaru Ika/Purple
4208,High Priestess Deena,大神官ディーナ,Yellow,,Recover,Single,V4032,1702297347316,High Priestess Deena
5085,Lyrica,リリカ,Purple,,HP,Single,,1705046069082,Lyrica
5168,Rufus ver. Holy Night,ルファス ver.聖夜,Purple,,Recover,Single,V5083,1703172306061,Rufus ver. Holy Night
4172,Luczas,ルーチャス,Yellow,,Recover,Single,,1705708576124,Luczas
4250,Kagamine Rin,鏡音リン,Yellow,,Balance,Single,,1708877479670,Kagamine Rin
4251,Kagamine Len,鏡音レン,Yellow,,Attack,Single,,1708877479676,Kagamine Len
5007,Penpenguin,ぺんペンギン,Purple,,HP,Single,,1710179772322,Penpenguin
1037,Draude III,ドラウド3世,Red,,Balance,Single,V1037,1710427668845,Draude III
4290,Feastful Legamünt,めしあがレガムント,Yellow,Red,Attack,Single,,1641256422754,Feastful Legamünt
1082,Erik,エリク,Red,,HP,Single,,1641256423116,Erik
1399,Eternal Sailor Pluto,エターナルセーラープルート,Red,,HP,Single,V1353,1641256423470,Eternal Sailor Pluto
5265,Flash Attack Rulue,しゅんげきのルルー,Purple,Red,Attack,Single,V1012,1641256423655,Flash Attack Rulue
1205,Explorer Ringo,探検家のりんご,Red,,Balance,Single,V1018,1641256423843,Explorer Ringo
1317,Great Paprisu Mars,グレートパプリスマルス,Red,Green,Attack,Single,V1089,1641256424027,Great Paprisu Mars
1368,Feli ver. Neko Musume,フェーリ ver.ねこ娘,Red,,HP,Single,V5018,1641256424822,Feli ver. Neko Musume
1302,Fujiko Mine,峰不二子,Red,,Balance,Single,,1641256427824,Fujiko Mine
1325,Gander,ガンダー,Red,,Balance,Single,,1641256428281,Gander
1213,Gardening Kikimora,園芸のキキーモラ,Red,,HP,Single,V1024,1641256428509,Gardening Kikimora
1326,Gedo-kun,ゲドーくん,Red,,Attack,Single,,1641256428792,Gedo-kun
184403L,Genius Paprisu,てんさいパプリス（赤）,Red,,NPC,--,,1641256429148,Genius Paprisu
1118,Gensan,ゲンサン,Red,,HP,Single,V1118,1641256429401,Gensan
2258,Glittering Elnath,きらびやかなエルナト,Blue,Red,HP,Single,,1641256429627,Glittering Elnath
1187,Gogotte (Fever),ゴゴット (フィーバー),Red,,,,,1641256430290,Gogotte (Fever)
1110,Goutarou,ゴータロー,Red,,HP,Single,,1641256430957,Goutarou
1046,Greengrocer Ringo,八百屋のりんご,Red,,HP,Single,V1018,1641256431379,Greengrocer Ringo
1111,Grinos,グライノス,Red,,HP,Single,,1641256431579,Grinos
1253,Hachune Miku,はちゅねミク,Red,,Recover,Single,,1641256431771,Hachune Miku
1328,Hatsuho Shinonome,東雲初穂,Red,,Balance,Single,V1328,1641256433471,Hatsuho Shinonome
1261,Kon,コン,Red,,Attack,Single,,1641256434752,Kon
1294,Luna & Artemis,ルナ＆アルテミス,Red,,Balance,Single,,1641256435841,Luna & Artemis
4325,Gander,ガンダー,Yellow,,Balance,Single,,1641256436015,Gander
1287,Make Up Raffina,メイクアップラフィーナ,Red,,Attack,Single,V4010,1641256436538,Make Up Raffina
1321,Nice Batter Amitie,ナイスバッターアミティ,Red,Yellow,Attack,Single,V1010,1641256436931,Nice Batter Amitie
1337,Doremi Harukaze,春風どれみ,Red,,Attack,Single,V1337,1657461422406,Doremi Harukaze
1108,Harris,ハリス,Red,,Balance,Single,,1673650647305,Harris
1369,Ecolo ver. Enma Daio,エコロ ver.閻魔大王,Red,,Balance,Single,V4022,1659476857770,Ecolo ver. Enma Daio/Red
1181,Kyubot,キューボ,Red,,,,,1666694665605,Kyubot/Red
4266,Full-bloom Chiquita,はなざかりのチキータ,Yellow,Red,Attack,Single,V5055,1673648847308,Full-bloom Chiquita
1145,Lucian,ルシアン,Red,,HP,Single,,1673567846569,Lucian
1305,Fujiko Mine ver. PuyoQuest,峰不二子 ver.ぷよクエ,Red,,Balance,Single,,1673567846782,Fujiko Mine ver. PuyoQuest
1140,Harris ver. Courage Test,ハリス ver.きもだめし,Red,,Balance,Single,,1673648847719,Harris ver. Courage Test
1157,Hacos,ハコス,Red,,HP,Single,,1676074945092,Hacos
1121,Orange Nyandragon,ちゃにゃんどら,Red,,Attack,Single,,1641256437776,Orange Nyandragon
1320,Player Suzaku,スザク選手,Red,,HP,Single,V1092,1641256439290,Player Suzaku
1047,Pole-fishing Scylla,一本釣りのスキュラ,Red,,Attack,Single,,1641256439570,Pole-fishing Scylla
184445L,Red Mecha Caballoon,あかいメカカバルーン,Red,,NPC,--,,1641256440253,Red Mecha Caballoon
1059,Fred,フレッド,Red,,Attack,Single,V1059,1705334128149,Fred
1074,Floré ver. Holy Night,フローレ ver.聖夜,Red,,Recover,Single,V1026,1703060072857,Floré ver. Holy Night
4359,Pegasus Seiya,天馬星座の星矢,Yellow,Red,Attack,Single,,1685023125369,Pegasus Seiya
1148,Halloween Phoeny,ハロウィンフェイニィ,Red,,Balance,Single,,1709426056483,Halloween Phoeny
1707,Golden Paprisu,きんぴかパプリス,Red,,Balance,Single,,1686227415500,Golden Paprisu/Red
1233,Kouburisu,光武リス,Red,,Balance,Single,,1687270335061,Kouburisu/Red
1040,Fried Paprisu,フライドパプリス,Red,,Balance,Single,,1686271828299,Fried Paprisu
1235,Magical Nia,マジカル・ニア,Red,,Attack,Single,,1690643952137,Magical Nia
1016,Flame Dragorune,フレイムドラゴルン,Red,,Attack,Single,,1686318640478,Flame Dragorune
1123,Dyne,ダイン,Red,,Attack,Single,,1698178965446,Dyne
1236,Firefighter Suzaku,火消しのスザク,Red,,Attack,Single,V1092,1688301821160,Firefighter Suzaku
2067,Eldur,エルドゥール,Blue,Red,Attack,Single,V2067,1710434273754,Eldur
2390,Gintoki Sakata,坂田銀時,Blue,Red,Attack,Single,V2390,1693831476723,Gintoki Sakata
1077,Fangzhang,ホウジョウ,Red,,Attack,Single,V1077,1707555729073,Fangzhang
1128,Flick,フリック,Red,,Attack,Single,,1697762511479,Flick
1211,Gorgeous Rulue,うるわしのルルー,Red,Blue,HP,Single,V1012,1706441271588,Gorgeous Rulue
1011,Gogotte,ゴゴット,Red,,Recover,Single,V1011,1699079677865,Gogotte
1076,Leit,レイト,Red,,HP,Single,,1706317658606,Leit
1240,Heated Hed,あつきヘド,Red,,Balance,Single,V1031,1705538750346,Heated Hed
1066,Greta,グレタ,Red,Purple,HP,Single,V1066,1702183323283,Greta
1064,Fanwool,ファンウール,Red,,Recover,Single,,1710195981592,Fanwool
2107,Foehn,フェーン,Blue,Red,Balance,Single,V2107,1710428269396,Foehn
1144,Linte,リンテ,Red,,Recover,Single,,1710443275968,Linte
1050,Heartia,ハーティア,Red,,HP,Single,,1710903527698,Heartia
1292,Ecolon,エコロン,Red,,Attack,Single,V1292,1708543747089,Ecolon
1221,Flame Hamushter,フレイムハムタス,Red,,HP,Single,,1706696307117,Hamushter/Red
1054,Emina,えみな,Red,,Attack,Single,,1710191779271,Emina
1702,Red Puyo Candy,あかぷよキャンデー,Red,,HP,Single,,1641256440607,Red Puyo Candy
1704,Red Puyo Choco,あかぷよチョコ,Red,,Recover,Single,,1641256440791,Red Puyo Choco
1703,Red Puyo Jelly,あかぷよゼリー,Red,,Attack,Single,,1641256440937,Red Puyo Jelly
4326,Gedo-kun,ゲドーくん,Yellow,,Attack,Single,,1641256442027,Gedo-kun
4362,Gemini Saga,双子座のサガ,Yellow,,Attack,Single,V4362,1641256442199,Gemini Saga
5273,Lovestruck Elma,恋するエルマ,Purple,Yellow,HP,Single,V4058,1641256448682,Lovestruck Elma
4132,Kyma,キューマ,Yellow,,Attack,Single,V4132,1641256443905,Kyma
4287,Make Up Arle,メイクアップアルル,Yellow,,Balance,Single,V2012,1641256448286,Make Up Arle
5380,Tee & O,ティ＆オー,Purple,Yellow,HP,Single,V5380,1641256590717,Tee & O
4242,Martial Staff Raffina,棒術のラフィーナ,Yellow,Red,Attack,Single,V4010,1641256449694,Martial Staff Raffina
1276,Junpei Iori,伊織順平,Red,,Attack,Single,V1276,1641256450269,Junpei Iori
5375,King of Darkness Schezo,闇の王様シェゾ,Purple,Red,HP,Single,,1641256451080,King of Darkness Schezo
4337,Hazuki Fujiwara,藤原はづき,Yellow,,Balance,Single,V4337,1657461422480,Hazuki Fujiwara
1416,Priscilla Barielle,プリシラ・バーリエル,Red,,Attack,Single,V1416,1656516233553,Priscilla Barielle
1243,Hello Kitty,ハローキティ,Red,,Recover,Single,,1673647648262,Hello Kitty
1309,King Nikochan & Servant,ニコチャン大王＆家来,Red,,HP,Single,,1673648847568,King Nikochan & Servant/Red
4352,Otsukimi Knight Hilda,お月見ナイトのヒルダ,Yellow,Red,HP,Single,V1067,1663355008763,Otsukimi Knight Hilda
4109,Leo ver. HW,レオ ver.HW,Yellow,,HP,Single,V4090,1665240240959,Leo ver. HW
4098,Lisa,リサ,Yellow,,Recover,Single,,1665890051731,Lisa
4181,Kyubot,キューボ,Yellow,,,,,1666695265635,Kyubot/Yellow
1708,Red Book of Secrets,赤の秘伝書,Red,,Balance,Single,,1669256209838,Book of Secrets/Red
2302,Lupin III,ルパン三世,Blue,Red,Balance,Single,V2302,1673648847300,Lupin III
3099,Hursh,フルシュ,Green,Red,Attack,Single,V3099,1673649447463,Hursh
4203,Legamünt,レガムント,Yellow,Purple,Balance,Single,V4203,1673648252633,Legamünt
4099,Nur,ヌール,Yellow,Red,Attack,Single,V4099,1673649447656,Nur
1099,Khan,カーン,Red,Blue,Attack,Single,V1099,1673649447815,Khan
4366,Ittan-momen,一反もめん,Yellow,,Balance,Single,,1679868711550,Ittan-momen
1425,Kamen Rider Revice,仮面ライダーリバイス,Red,Purple,HP,Single,,1641256454673,Kamen Rider Revice
184450L,Mecha Odorigame-Red,メカおどりガメ・レッド,Red,,NPC,--,,1641256455183,Mecha Odorigame-Red
184455L,Mecha Red Umiushi,メカレッドうみうし,Red,,NPC,--,,1641256455350,Mecha Red Umiushi
1306,Midori Norimaki & Turbo,則巻みどり&ターボ,Red,,Balance,Single,V1306,1641256456254,Midori Norimaki & Turbo
1390,Kagura,神楽,Red,,Attack,Single,V1390,1684815625656,Kagura
1058,Julia,ジュリア,Red,,HP,Single,V1058,1680938020223,Julia
1007,Kamen Inko,かめんいんこ,Red,,HP,Single,,1710178570038,Kamen Inko
1171,Nature Braver Gensan,大自然を巡るゲンサン,Red,,HP,Single,V1118,1702130512350,Nature Braver Gensan
1019,Lilim,リリン,Red,,HP,Single,V1019,1686573669893,Lilim
1095,Helen,ヘレン,Red,,HP,Single,,1688005398184,Helen
1304,Lupinrisu,ルパンリス,Red,,Balance,Single,,1686271828504,Lupinrisu/Red
1323,Makyuurisu,魔球リス,Red,,Balance,Single,,1686271828563,Makyuurisu/Red
4090,Leo,レオ,Yellow,,Attack,Single,V4090,1710603499657,Leo
1159,Malika,マリカ,Red,Blue,Attack,Single,,1702714427697,Malika
1021,Kashi of the Fire Gate,火ノ門のカシ,Red,,HP,Single,,1686318640597,Kashi of the Fire Gate
4233,Kouburisu,光武リス,Yellow,,Balance,Single,,1687270335125,Kouburisu/Yellow
1392,Kagura ver. Arle,神楽 ver.アルル,Red,,Attack,Single,V1390,1686691286630,Kagura ver. Arle
1067,Hilda,ヒルダ,Red,Yellow,Attack,Single,V1067,1710434273738,Hilda
1009,Hohow Bird,ほほうどり,Red,,HP,Mass,V1009,1686576075746,Hohow Bird
1420,Klug ver. Puck,クルーク ver.パック,Red,Purple,Balance,Single,V5010,1693398238471,Klug ver. Puck
1090,Lugo,ルゴー,Red,,Attack,Single,V1090,1707715357627,Lugo
4093,Narukami,ナルカミ,Yellow,Red,HP,Single,V4093,1694817984782,Narukami
1352,Mischievous Zenon,いたずらなゼノン,Red,Purple,Balance,Single,V1139,1691335246753,Mischievous Zenon
1414,Ram,ラム,Red,,Attack,Single,V1414,1694817984947,Ram
4080,Gina,ジーナ,Yellow,,Balance,Single,,1699145089410,Gina
1088,Hed ver. HW,ヘド ver.HW,Red,,Attack,Single,V1031,1708744238040,Hed ver. HW
1020,Osaki,オサキ,Red,,Balance,Single,,1710183974176,Osaki
4027,Lisette,リゼット,Yellow,Red,Recover,Single,V4027,1710186975737,Lisette
1138,Merlet,メルレ,Red,,Attack,Single,,1698696228331,Merlet
4135,Henriette,アンリエット,Yellow,,HP,Single,,1701527995362,Henriette
1209,Kitty Ringo,にゃんこのりんご,Red,Purple,Attack,Single,V1018,1702132314294,Kitty Ringo
1096,Kaede,カエデ,Red,,Attack,Single,,1702170120717,Kaede
4137,Layla,レイラ,Yellow,,Balance,Single,,1711140554078,Layla
1151,Otsukimi Maile,お月見メルー,Red,,Balance,Single,,1703379344381,Otsukimi Maile
1143,Isin ver. HW,イシン ver.HW,Red,,Attack,Single,,1710429470037,Isin ver. HW
1227,Knitwork Frau,あみものフラウ,Red,Purple,Attack,Single,V5013,1703632591324,Knitwork Frau
1373,Kerorisu,ケロリス,Red,,Balance,Single,,1705667767673,Kerorisu/Red
4069,Haratatsunoko,ハラタツノコ,Yellow,,Balance,Single,,1710446282853,Haratatsunoko
1031,Hed,ヘド,Red,,Attack,Single,V1031,1710431871629,Hed
1104,Isin,イシン,Red,,Attack,Single,,1710189376746,Isin
1036,Midsummer Sasori Man,真夏のさそりまん,Red,,Attack,Single,,1641256456529,Midsummer Sasori Man
1279,P5 Hero,P5主人公,Red,Purple,Balance,Single,V1279,1641256457561,P5 Hero
1334,Morolian,モロ星人,Red,,Balance,Single,VS334,1641256458329,Morolian
1078,Mukku,ムック,Red,,Balance,Single,,1641256458720,Mukku
184415L,Genius Paprisu,てんさいパプリス（黄）,Yellow,,NPC,--,,1641256449162,Genius Paprisu
4204,Kitchen Risukuma,チューボーのりすくま,Yellow,Red,HP,Single,V4018,1641256449346,Kitchen Risukuma
1189,Oniko (Fever),おに子 (フィーバー),Red,,,,,1641256460778,Oniko (Fever)
1245,Osomatsu,おそ松,Red,,Balance,Single,,1641256461148,Osomatsu
2275,P3 Hero,P3主人公,Blue,Red,Balance,Single,V2275,1641256461311,P3 Hero
1275,P3 Heroine,P3女性主人公,Red,Blue,Balance,Single,V1275,1641256461470,P3 Heroine
1315,Poopboy,うんちくん,Red,,Balance,Single,,1641256463366,Poopboy
1705,Red Grimoire,赤の魔導書,Red,,Balance,Single,,1641256469252,Red Grimoire
1701,Red Puyo Ice,あかぷよアイス,Red,,Balance,Single,,1641256469591,Red Puyo Ice
5303,Maguro ver. Goemon,まぐろ ver.五ェ門,Purple,,Attack,Single,V2022,1641256469931,Maguro ver. Goemon
1122,Resta,レスタ,Red,,Attack,Single,,1641256470111,Resta
1042,Ringo ver. PuyoTet,りんご ver.ぷよテト,Red,,HP,Single,V1018,1641256470669,Ringo ver. PuyoTet
1378,Ringo ver. PuyoTet2,りんご ver.ぷよテト2,Red,,Balance,Single,V1018,1641256470844,Ringo ver. PuyoTet2
1247,Ringomatsu,りんご松,Red,,Balance,Single,V1018,1641256471011,Ringomatsu
1147,Rita,リタ,Red,,Recover,Single,V1147,1641256471207,Rita
1214,Rulue ver. PuyoChron,ルルー ver.ぷよクロ,Red,,Attack,Single,V1012,1641256471556,Rulue ver. PuyoChron
5289,Mirror Rafisol,かがみのラフィソル,Purple,Red,Attack,Single,V5146,1658479640038,Mirror Rafisol
1130,Queenia,クイーニャ,Red,,Attack,Single,,1655946821277,Queenia
5502,,,,,,,,1653396921705,
1413,Matoi,マトイ,Red,,Recover,Single,,1656515641861,Matoi
1327,Powerpro-kun,パワプロくん,Red,,Balance,Single,,1676208747753,Powerpro-kun
1109,Lugo ver. HW,ルゴー ver.HW,Red,,HP,Single,V1090,1665240240867,Lugo ver. HW
1256,Peachy Ringo,ももいろのりんご,Red,,Balance,Single,V1018,1676295050305,Peachy Ringo
5278,Makoto Niijima,新島真,Purple,,HP,Single,V5278,1641256476400,Makoto Niijima
4046,Gladiator Minotauros,剣闘士ミノタウロス,Yellow,,Attack,Single,V4024,1641256464136,Gladiator Minotauros
4281,Goro Akechi,明智吾郎,Yellow,,Balance,Single,V4281,1641256464291,Goro Akechi
4149,Hugo,ヒューゴ,Yellow,,Attack,Single,,1641256464872,Hugo
4276,Ken Amada,天田乾,Yellow,,Attack,Single,V4276,1641256465587,Ken Amada
4261,Kon,コン,Yellow,,Attack,Single,,1641256466523,Kon
1052,Rosie,ロージー,Red,,Balance,Single,,1710191178576,Rosie
