alias,char_id,updated_at,internal,card_type
arle ver. kagura,1393,1684815625999,1,character
chagama/red,1005,1706472475415,1,character
瑠璃色の結晶,2164,1707971036376,1,material
kobbit/blue,2014,1686576075180,1,character
べにいろチャガマ,1005,1706472475417,1,character
clione,1069,1710445677682,1,character
あおいコビット,2014,1686576075182,1,character
celebration paprisu/red,1081,1686271828342,1,character
アーシル,1075,1709510072016,1,character
beniiro chagama,1005,1706472475402,1,character
ayn,2099,1704654085418,1,character
material puyo/blue,2501,1708521527769,1,character
アスカリス,1271,1686271828449,1,character
asukarisu,1271,1686271828448,1,character
annie,1094,1702586011437,1,character
coron,1137,1711162156003,1,character
blue kobbit,2014,1686576075178,1,character
sharl,5070,1692334351467,1,character
dapper bones,1030,1686573670200,1,character
bursting amitie,1311,1688301821248,1,character
癒しの天使フローレ,1332,1701352769274,1,character
クリオネェ,1069,1710445677684,1,character
an,4117,1698197569807,1,character
darjeelia,1155,1704151709042,1,character
ダージリア,1155,1704151709046,1,character
mio,1085,1705026867083,1,character
コロン,1137,1711162156004,1,character
cure rouge,1406,1692621776441,1,character
キュアルージュ,1406,1692621776442,1,character
azzawia,1165,1694156726731,1,character
トゥルム,3158,1700940534185,1,character
アイン,2099,1704654085420,1,character
dingnified shizunagi,1344,1702908250442,1,character
ドンデ,1126,1706833742067,1,character
clifford,1162,1706486876699,1,character
あおいパプリス,2001,1709512472745,1,character
crabmeat,1225,1701998456522,1,character
ガニガニ,1225,1701998456524,1,character
attack pusler,1207,1702029666709,1,character
リンとしたシズナギ,1344,1702908250444,1,character
クリフォード,1162,1706486876701,1,character
アニー,1094,1702586011442,1,character
hatsune miku,3250,1708876879580,1,character
bloodmoon draude iii,1316,1703319335183,1,character
あおいインキュバス,2201,1703471163994,1,character
arle ver. sakura kinomoto,2372,1705668368116,1,character
バルトアンデルス,2009,1706438871312,1,character
dongdae,1126,1706833742050,1,character
てんびんの刻印,1112,1641100364399,1,material
chamali,1112,1641100364093,1,character
カマリ,1112,1641100364097,1,character
喫茶店のアミティ,1204,1641100365080,1,character
chamali/materials,1112,1641100397954,1,material
chef feli,1044,1641100364944,1,character
coffee shop amitie,1204,1641100365076,1,character
コック姿のフェーリ,1044,1641100364948,1,character
chef klug,1043,1641100364956,1,character
コック姿のクルーク,1043,1641100364960,1,character
cheo,1120,1641100364980,1,character
chef lemres,1039,1641100364968,1,character
コック姿のレムレス,1039,1641100364972,1,character
チェオ,1120,1641100364984,1,character
チェンクロ主人公,4301,1641100409504,1,character
even stranger klug,1383,1641100367161,1,character
doremi harukaze ver. plainclothes,1343,1641100365416,1,character
春風どれみ ver.私服,1343,1641100365420,1,character
ニセとうだら,5402,1648784645185,1,character
jin,3163,1673649448348,1,character
black sig,2049,1678510493969,1,character
doremi harukaze,1337,1657461422445,1,character
春風どれみ,1337,1657461422446,1,character
power-enhancing kick shoes,1237,1659536258529,1,material
キック力増強シューズ,1237,1659536258536,1,material
dekabot,5183,1666695266111,1,character
dekabot/red,1183,1666695265972,1,character
チャーミードラコ,1345,1666754666698,1,character
charmy draco,1345,1666754666696,1,character
ジン,3163,1673649448349,1,character
ドラコ ver.キュアルージュ,1409,1678017840602,1,character
erik,1082,1641100366504,1,character
dragondance fangzhang,1314,1641100365475,1,character
龍人の演舞ホウジョウ,1314,1641100365479,1,character
akihiko,4275,1641242244770,,character
akio,3319,1641242244776,,character
エターナルセーラーちびムーン,1397,1641100366004,1,character
super sailor pluto,1399,1641100366021,1,character
スーパーセーラープルート,1399,1641100366029,1,character
ecolo ver. enma daiou/red,1369,1641100365691,1,character
explorer ringo,1205,1641100367112,1,character
motivating happi coat (green),3273,1641100366057,1,material
気合のハッピ(緑),3273,1641100366065,1,material
アルル ver.パワプロ,2327,1686142804112,1,character
arle ver. powerpros,2327,1686142804112,1,character
おやしゅみサロメ,5335,1708830071324,1,character
おしゃれコウベ,1030,1686573670201,1,character
ミオ,1085,1705026867084,1,character
chuukichi paprisu,1296,1703969251174,1,character
clarisu,1330,1686271828638,1,character
clarisu/red,1330,1686271828639,1,character
くらリス,1330,1686271828640,1,character
どれみリス,1341,1686271828709,1,character
doremirisu,1341,1686271828707,1,character
cosmorisu,1363,1686271828769,1,character
cosmorisu/red,1363,1686271828772,1,character
小宇宙リス,1363,1686271828773,1,character
elizarisu/red,1395,1686271828831,1,character
josef,3097,1705652166157,1,character
red crystal,1029,1686573670126,1,material
pierrot,1029,1686573670133,1,character
ピエロ,1029,1686573670140,1,character
ヨハン,3135,1701527995342,1,character
firefighter suzaku,1236,1688301821201,1,character
ecolon,1292,1708543751135,1,character
rabbit tera-chan/materials,2375,1691336447202,1,material
エコロン,1292,1708543751136,1,character
うすやみのdgアルル,1257,1701547197771,1,character
ココルコ,1141,1691334646619,1,character
もこもこさいほうセット,2375,1691336447203,1,material
christmash salome/materials,5335,1708830071368,1,material
fluffy needlework set,2375,1691336447201,1,material
大きなくつした,5335,1708830071356,1,material
fluffy pillow (purple),5335,1708830071332,1,material
ふかふかまくら(紫),5335,1708830071370,1,material
nighty-night salome,5335,1708830071313,1,character
クリスマしゅサロメ,5335,1708830071375,1,character
初音ミク,3250,1708876879581,1,character
ファンウール,1064,1710195981640,1,character
fluffy pillow (red),5335,1708830071335,1,material
good girl salome,5335,1708830071290,1,character
大神官ミーシャ,3208,1710428869735,1,character
よいこのサロメ,5335,1708830071294,1,character
high priestess mischa,3208,1710428869734,1,character
iyo,3061,1698235976086,1,character
イヨ,3061,1698235976087,1,character
こうげきプースラ,1207,1702029666737,1,character
フェイス,5159,1702715028086,1,character
santa mentor rozatte,4316,1702646619595,1,character
faith,5159,1702715028080,1,character
中吉パプリス,1296,1703969251175,1,character
アルル ver.木之本桜,2372,1705668368119,1,character
big stocking,5335,1708830071318,1,material
ふかふかまくら(赤),5335,1708830071349,1,material
探検家のりんご,1205,1641100367117,1,character
エリク,1082,1641100366508,1,character
flore ver. erica,1232,1641100367294,1,character
フローレ ver.エリカ,1232,1641100367302,1,character
exspatulary empusa/materials,3273,1641100366529,1,material
eternal sailor pluto,1399,1641100367076,1,character
もっとあやしいクルーク,1383,1641100367165,1,character
eternal sailor chibi moon,1397,1641100371870,1,character
ecolo ver. enma daiou,5369,1641100427191,1,character
albert ver. hn,1091,1641242244783,,character
グライノス,1111,1641100368485,1,character
glittering hat (blue),2258,1641100366353,1,material
きらびやかなハット(青),2258,1641100366363,1,material
goutarou,1110,1641100368408,1,character
artisanal spatula,3273,1641100366404,1,material
職人のコテ,3273,1641100366413,1,material
rulue ver. mukku,1202,1641100375768,1,character
rulue ver. puyochron,1214,1641100376153,1,character
flightless yakisoba,4290,1641100366489,1,character
飛べない焼きソバ,4290,1641100366496,1,character
motivating happi coat (red),3273,1641100366525,1,material
気合のハッピ(赤),3273,1641100366533,1,material
ダット,1136,1673650647715,1,character
エコロ ver.閻魔大王,5369,1659477457866,1,character
ecolo intel,1305,1673567846837,1,material
バルトアンデルスの情報,1305,1673567846842,1,material
エコロの情報,1305,1673567846839,1,material
baldanders intel,1305,1673567846841,1,material
fujiko mine ver. puyoquest/materials,1305,1673567846842,1,material
super sailor mars,1398,1673567846988,1,character
スーパーセーラーマーズ,1398,1673567846989,1,character
eternal sailor mars,1398,1673567846989,1,character
mega satan,1394,1673650048322,1,character
satan saturn,1394,1673650048324,1,character
ドリームサタン,1394,1673650048330,1,character
メガサタン,1394,1673650048327,1,character
サタンサターン,1394,1673650048328,1,character
dream satan,1394,1673650048328,1,character
saturn tiara,1394,1673650048340,1,material
dream satan/materials,1394,1673650048343,1,material
サターンティアラ,1394,1673650048344,1,material
グレートパプリスマルス,1317,1641100366545,1,character
feli ver. neko musume,1368,1641100367173,1,character
glittering elnath,2258,1641100367816,1,character
fujiko mine,1302,1641100367358,1,character
gardening kikimora,1213,1641100367412,1,character
ジェミニ・サンライズ,1231,1641100367464,1,character
gemini sunrise,1231,1641100367461,1,character
genius paprisu/red,184403L,1641100367472,1,character
てんさいパプリス(赤),184403L,1641100367476,1,character
gensan,1118,1641100367547,1,character
きらびやかなエルナト,2258,1641100367820,1,character
exspatulary empusa,3273,1641100372031,1,character
峰不二子,1302,1641100367362,1,character
greengrocer ringo,1046,1641100368432,1,character
grinos,1111,1641100368480,1,character
halloween carbuncle,1301,1641100366940,1,character
ハロウィンカーバンクル,1301,1641100366944,1,character
フェーリ,5018,1702360358649,1,character
flame dragorune,1016,1686318640539,1,character
きんぴかパプリス,5707,1686227415791,1,character
フレイムドラゴルン,1016,1686318640539,1,character
ダイン,1123,1698178965498,1,character
dyne,1123,1698178965498,1,character
elizarisu,1395,1686271828830,1,character
fried paprisu,1040,1686271828330,1,character
フローレ,1026,1710185774829,1,character
flore,1026,1710185774827,1,character
red enchanted mirror,1029,1686573670115,1,material
あかい魔鏡,1029,1686573670129,1,material
concentrate tomato juice,1037,1710427668972,1,material
トマトジュース,1037,1710427668980,1,material
eldur,2067,1710434273880,1,character
ripe tomato juice,1037,1710427669012,1,material
完熟トマトジュース,1037,1710427669019,1,material
ドラウド3世,1037,1710427669034,1,character
ヨトム,3164,1708119287921,1,character
draude iii/materials,1037,1710427669016,1,material
halloween phoeny,1148,1709426056595,1,character
wind core,3164,1708119287969,1,material
tomato juice,1037,1710427668978,1,material
火消しのスザク,1236,1688301821202,1,character
edgar,1027,1710186375302,1,character
レティシア,2135,1701527995328,1,character
サンタの師ローザッテ,4316,1702646619597,1,character
ヨーゼフ,3097,1705652166163,1,character
fred,1059,1705334128232,1,character
エドガー,1027,1710186375303,1,character
エルドゥール,2067,1710434273884,1,character
フローレ ver.聖夜,1074,1703060072952,1,character
flore ver. holy night,1074,1703060072948,1,character
fanwool,1064,1710195981634,1,character
濃縮トマトジュース,1037,1710427668974,1,material
フレッド,1059,1705334128234,1,character
ゴータロー,1110,1641100368412,1,character
エターナルセーラープルート,1399,1641100367080,1,character
exploration lantern,1205,1641100367084,1,material
たんけんランタン,1205,1641100367092,1,material
フェーリ ver.ねこ娘,1368,1641100367178,1,character
great paprisu mars,1317,1641100374962,1,character
ゲンサン,1118,1641100367551,1,character
園芸のキキーモラ,1213,1641100367416,1,character
genius paprisu,184415L,1641100412701,1,character
gander/red,1325,1641100367399,1,character
plant care scissors,1213,1641100367420,1,material
八百屋のりんご,1046,1641100368437,1,character
ルルー ver.ムック,1202,1641100375772,1,character
glittering elnath/materials,2258,1641100368336,1,material
explorer ringo/materials,1205,1641100371884,1,material
コテコテのエムプーサ,3273,1641100372035,1,character
feastful legamunt,4290,1641100412410,1,character
gander,4325,1641100412573,1,character
ガンダー,4325,1641100412581,1,character
お手入れハサミ,1213,1641100367428,1,material
aqua aldera,2408,1641242244790,,character
gedo-kun/red,1326,1641100367437,1,character
レイフ,2082,1641100388167,1,character
gardener's apron,1213,1641100367445,1,material
gardening kikimora/materials,1213,1641100367449,1,material
園芸エプロン,1213,1641100367453,1,material
ブレイク,2111,1641100375810,1,character
assorted vegetables,1046,1641100367652,1,material
野菜の盛り合わせ,1046,1641100367660,1,material
leif,2082,1641100388163,1,character
greengrocer ringo/materials,1046,1641100368445,1,material
harris,1108,1673650647363,1,character
stew,3066,1659534458578,1,material
mushroom stew,3066,1659534458607,1,material
joze/materials,3066,1659534458608,1,material
joze,3066,1659477457892,1,character
キノコのシチュー,3066,1659534458608,1,material
シチュー,3066,1659534458580,1,material
harris ver. courage test,1140,1673648847765,1,character
峰不二子 ver.ぷよクエ,1305,1673567846827,1,character
fujiko mine ver. puyoquest,1305,1673567846826,1,character
エターナルセーラーマーズ,1398,1673567846984,1,character
はなざかりのチキータ,4266,1673648847357,1,character
hacos,1157,1676074945137,1,character
ハコス,1157,1676074945138,1,character
glittering hat (red),2258,1641100367824,1,material
きらびやかなハット(赤),2258,1641100367833,1,material
八百屋の伝票,1046,1641100368449,1,material
gogotte (fever),1187,1641100367963,1,character
ゴゴット (フィーバー),1187,1641100367967,1,character
blake,2111,1641100375806,1,character
hatsuho shinonome,1328,1641100368145,1,character
東雲初穂,1328,1641100368149,1,character
ryatafu ver. inarizaki high,1389,1641100376216,1,character
glittering plumage,2258,1641100368332,1,material
きらびやかな羽根かざり,2258,1641100368340,1,material
パトロールのマルス,1317,1641100368375,1,character
greengrocer's receipt,1046,1641100368440,1,material
hachune miku/red,1253,1641100368493,1,character
phoeny's pumpkin,1148,1709426056612,1,material
ジュリア,1058,1680938020278,1,character
炎のすけとうだら,1034,1686270624251,1,character
golden paprisu/red,1707,1686227415606,1,character
flame suketoudara,1034,1686270624250,1,character
shimarisu/purple,5350,1686270625649,1,character
jotom/materials,3164,1708119287971,1,material
ウィンド・コア,3164,1708119287972,1,material
フェイニィのドーナッツ,1148,1709426056574,1,material
wind mineral,3164,1708119287937,1,material
翡翠色の結晶,3164,1708119287964,1,material
風の鉱石,3164,1708119287941,1,material
jade crystal,3164,1708119287961,1,material
ashley,2162,1706333860942,1,character
rainbow candle,5018,1702360358622,1,material
赤い宝の地図,1059,1705334128243,1,material
foehn,2107,1710428269480,1,character
phoeny's donuts,1148,1709426056572,1,material
フリック,1128,1697762511592,1,character
バルティ,2129,1697779913911,1,character
red pirate ring,1059,1705334128222,1,material
gorgeous rulue,1211,1706441271640,1,character
blue large puyo,2501,1708521527661,1,character
うるわしのルルー,1211,1706441271641,1,character
フレイムハムタス,1221,1706696307205,1,character
flame hamtas,1221,1706695706835,1,character
フェーン,2107,1710428269482,1,character
bauer,2159,1702714427841,1,character
emina,1054,1710191779352,1,character
hamtas/red,1221,1706695706837,1,character
santa draco,1241,1704246528957,1,character
red treasure map,1059,1705334128223,1,material
あおい大ぷよ,2501,1708521527668,1,character
あおい月ぷよ,2501,1708521527742,1,character
halloween phoeny/materials,1148,1709426056654,1,material
フェイニィのかぼちゃ,1148,1709426056656,1,material
えみな,1054,1710191779356,1,character
あおぷよキャンデー,2702,1641100381960,1,character
puyo candy/blue,2702,1641100381956,1,character
blue puyo candy,2702,1641100381951,1,character
ルルー ver.ぷよクロ,1214,1641100376158,1,character
リャタフー ver.稲荷崎高校,1389,1641100376220,1,character
gedo-kun,4326,1641100412601,1,character
ゲドーくん,4326,1641100412613,1,character
hachune miku,4253,1641100412945,1,character
はちゅねミク,4253,1641100412953,1,character
big popoi,5266,1641100375111,1,character
チューボーのりすくま,4204,1641100413985,1,character
ヨルン,3082,1641100369950,1,character
king of darkness schezo,5375,1641100403445,1,character
ハリス,1108,1673650647363,1,character
gold chamali,1361,1658872047008,1,character
ゴールドカマリ,1361,1658872047009,1,character
gold praesepe,1362,1657684627466,1,character
blue book of secrets,2708,1669256209807,1,character
book of secrets/blue,2708,1669256209808,1,character
青の秘伝書,2708,1669256209809,1,character
ユリウス・ユークリウス,3415,1673718448470,1,character
kamen rider den-o,1424,1673567847053,1,character
hursh,3099,1673649447569,1,character
kawatarou,3100,1673569046722,1,character
カワタロウ,3100,1673569046724,1,character
フルシュ,3099,1673649447569,1,character
khan,1099,1673649447875,1,character
julius juukulius,3415,1673718448469,1,character
kitchen risukuma,4204,1641100413981,1,character
おおきいポポイ,5266,1641100375115,1,character
cure aldera,2408,1641242244790,,character
gorgeous mantle,5375,1641100369583,1,material
king of darkness schezo/materials,5375,1641100369587,1,material
ゴージャスマント,5375,1641100369591,1,material
feli (fever),5186,1641100371471,1,character
jørn,3082,1641100369946,1,character
フェーリ (フィーバー),5186,1641100371473,1,character
junpei iori,1276,1641100369404,1,character
伊織順平,1276,1641100369407,1,character
exquisite fried rice,4204,1641100369607,1,material
ぜっぴんチャーハン,4204,1641100369615,1,material
ally ver. ppt2,3379,1641242244863,,character
仮面ライダーゲイツ,1423,1680117737964,1,character
あおいカバルーン,2056,1710192379832,1,character
hartmann,3089,1681618493279,1,character
ハルトマン,3089,1681618493280,1,character
グレタ,1066,1702183323397,1,character
赤い悪魔のスコア,1031,1710431871904,1,material
kagura,1390,1684815625687,1,character
バウアー,2159,1702714427842,1,character
hohow bird,1009,1686576075853,1,character
shimarisu,1350,1686271828739,1,character
嶋リス,1350,1686271828742,1,character
lovely candle,5018,1702360358639,1,material
kashi of the fire gate,1021,1686318640682,1,character
ryme,2076,1705447541968,1,character
red devil's record,1031,1710431871759,1,material
deviling's kiss,1019,1686573669940,1,material
小悪魔のキッス,1019,1686573669950,1,material
lilim/materials,1019,1686573669947,1,material
lilim,1019,1686573669951,1,character
hed,1031,1710431871886,1,character
red devil's score,1031,1710431871789,1,material
赤い悪魔のレコード,1031,1710431871836,1,material
peruvis' cupcake,5227,1708746040193,1,material
ヒルダ,1067,1710434273871,1,character
ペルヴィスのカップケーキ,5227,1708746040202,1,material
ヘレン,1095,1688005398263,1,character
kaede,1096,1702170120815,1,character
helen,1095,1688005398258,1,character
kamen inko,1007,1710178570156,1,character
アシュリー,2162,1706333860943,1,character
kangaeroo,3087,1710162966839,1,character
berri,2080,1697520682589,1,character
klug ver. puck,1420,1693398238528,1,character
ハーティア,1050,1710903527755,1,character
ルゴー,1090,1707715357713,1,character
ベリィ,2080,1697520682590,1,character
audacious stornum,2240,1705475744408,1,character
dusklight doppelganger arle,1257,1701547197767,1,character
ふてきなストルナム,2240,1705475744409,1,character
あつきヘド,1240,1705538750462,1,character
素敵なキャンドル,5018,1702360358656,1,material
heated hed,1240,1705538750462,1,character
tiara of tactics,1159,1702714427796,1,material
malika,1159,1702714427797,1,character
カンガエルー,3087,1710162966840,1,character
santa amitie/materials,1048,1702985061069,1,material
red holy bell,1048,1702985061068,1,material
赤い聖なるベル,1048,1702985061070,1,material
linte,1144,1710443276065,1,character
hed/materials,1031,1710431871891,1,material
lugo,1090,1707715357712,1,character
heartia,1050,1710903527754,1,character
ヘド ver.hw,1088,1708744238115,1,character
blue caballoon,2056,1710192379829,1,character
赤のスコア,1031,1710431871872,1,material
red score,1031,1710431871719,1,material
kitchen risukuma/materials,4204,1641100413361,1,material
闇の王様シェゾ,5375,1641100403448,1,character
precure aldera,2408,1641242244790,,character
chosen ingredients,4204,1641100370558,1,material
mecha odorigame-red,184450L,1641100369893,1,character
mecha odorigame/red,184450L,1641100369897,1,character
メカおどりガメ・レッド,184450L,1641100369901,1,character
選ばれし食材,4204,1641100370566,1,material
shinji,5267,1641100370210,1,character
シンジ,5267,1641100370214,1,character
luna & artemis/red,1294,1641100370368,1,character
martial staff raffina,4242,1641100370586,1,character
ルゴー ver.hw,1109,1665240240920,1,character
lugo ver. hw,1109,1665240240919,1,character
kyubot/red,1181,1666694665722,1,character
matoi,1413,1656515641913,1,character
knitwork floe,1227,1656741836667,1,character
ハリス ver.きもだめし,1140,1673648847766,1,character
ハローキティ,1243,1673647648310,1,character
love hunter rafisol,1401,1667256874965,1,character
仮面ライダー電王,1424,1673567847054,1,character
lupin iii,2302,1673648847343,1,character
hello kitty,1243,1673647648308,1,character
king nikochan & servant/red,1309,1673648847591,1,character
カーン,1099,1673649447878,1,character
メイクアップラフィーナ,1287,1641100370922,1,character
make up raffina,1287,1641100370918,1,character
棒術のラフィーナ,4242,1641100370590,1,character
kamen rider 1,3424,1641100370524,1,character
仮面ライダー1号,3424,1641100370528,1,character
lupin iii (red),1303,1641100370895,1,character
kon/red,1261,1641100370730,1,character
ルパン三世(赤),1303,1641100370899,1,character
kon,4261,1641100414014,1,character
コン,4261,1641100414023,1,character
luna & artemis,4294,1641100415541,1,character
aldera ver. hn,2168,1641242244843,,character
nice batter amitie,1321,1641100372104,1,character
sada,3112,1641100402729,1,character
火ノ門のカシ,1021,1686318640689,1,character
kamen rider saber,2423,1686138603228,1,character
kagura ver. arle,1392,1686691286658,1,character
仮面ライダークロスセイバー,2423,1686138603223,1,character
神楽 ver.アルル,1392,1686691286659,1,character
kamen rider xross saber,2423,1686138603215,1,character
神楽,1390,1684815625689,1,character
grimoire of fluff,1420,1693398238508,1,material
made guide greap,2344,1708328786169,1,character
メイドガイド・グリープ,2344,1708328786170,1,character
ほほうどり,1009,1686576075853,1,character
lupinrisu/red,1304,1686271828534,1,character
makyuurisu,1323,1686271828595,1,character
makyuurisu/red,1323,1686271828596,1,character
魔球リス,1323,1686271828597,1,character
isin,1104,1710189376837,1,character
リリン,1019,1686573669953,1,character
リンテ,1144,1710443276065,1,character
にゃんこのりんご,1209,1702132314368,1,character
ミノア,1032,1710431872559,1,character
klug ver. puck/materials,1420,1693398238510,1,material
magical nia,1235,1690643952187,1,character
kikimora,1024,1704283138194,1,character
kouburisu/red,1233,1687270335098,1,character
kouburisu,5233,1687270335219,1,character
光武リス,5233,1687270335225,1,character
ナックルズ,1223,1687566162720,1,character
マジカル・ニア,1235,1690643952188,1,character
lovestruck peruvis/materials,5227,1708746040227,1,material
red crystal ball,1032,1710431872457,1,material
モフモフの魔導書,1420,1693398238510,1,material
カエデ,1096,1702170120817,1,character
クルーク ver.パック,1420,1693398238529,1,character
ルルーの本命チョコ,1045,1702266742869,1,material
merlet,1138,1698696228474,1,character
メルレ,1138,1698696228475,1,character
レイト,1076,1706317658726,1,character
kitty ringo,1209,1702132314366,1,character
queen chess piece,1159,1702714427752,1,material
大神官ミノア,1208,1702755232687,1,character
クイーンのコマ,1159,1702714427759,1,material
マリカ,1159,1702714427799,1,character
戦略のティアラ,1159,1702714427799,1,material
white chess pieces,5159,1702715028055,1,material
malika/materials,5159,1702715028060,1,material
白のコマ,5159,1702715028063,1,material
minoa,1032,1710431872529,1,character
ペルヴィスのチョコ(紫),5227,1708746040228,1,material
あみものフラウ,1227,1703632591594,1,character
peruvis' chocolate (purple),5227,1708746040221,1,material
kerorisu/red,1373,1705667767737,1,character
lisette,4027,1710186975849,1,character
イシン,1104,1710189376844,1,character
リゼット,4027,1710186975851,1,character
lagash,2104,1710189376858,1,character
mrs. saccharo,1106,1641100372180,1,character
